player_id,player_name,cap,date,date_iso,venue,opponent,result,competition_name,competition_family,source_id,source_url,goals,cumulative_goals,source_granularity
maradona,Diego Maradona,63,12-10-88,1988-10-12,Sevilla,Spain,1-1,Copa Hispanidad,national_team_other,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,0,31,appearance
maradona,Diego Maradona,64,2-7-89,1989-07-02,Goiânia,Chile,1-0,Copa América,national_team_continental_championship_finals,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,0,31,appearance
maradona,Diego Maradona,65,4-7-89,1989-07-04,Goiânia,Ecuador,0-0,Copa América,national_team_continental_championship_finals,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,0,31,appearance
maradona,Diego Maradona,66,8-7-89,1989-07-08,Goiânia,Uruguay,1-0,Copa América,national_team_continental_championship_finals,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,0,31,appearance
maradona,Diego Maradona,67,10-7-89,1989-07-10,Goiânia,Bolivia,0-0,Copa América,national_team_continental_championship_finals,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,0,31,appearance
maradona,Diego Maradona,68,12-7-89,1989-07-12,Rio de Janeiro,Brazil,0-2,Copa América,national_team_continental_championship_finals,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,0,31,appearance
maradona,Diego Maradona,69,14-7-89,1989-07-14,Rio de Janeiro,Uruguay,0-2,Copa América,national_team_continental_championship_finals,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,0,31,appearance
maradona,Diego Maradona,70,21-12-89,1989-12-21,Cagliari,Italy,0-0,Friendly,national_team_friendlies,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,0,31,appearance
maradona,Diego Maradona,71,3-5-90,1990-05-03,Wien,Austria,1-1,Friendly,national_team_friendlies,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,0,31,appearance
maradona,Diego Maradona,72,8-5-90,1990-05-08,Bern,Switzerland,1-1,Friendly,national_team_friendlies,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,0,31,appearance
maradona,Diego Maradona,73,22-5-90,1990-05-22,Tel-Aviv,Israel,2-1,Friendly,national_team_friendlies,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,1,32,appearance
maradona,Diego Maradona,74,8-6-90,1990-06-08,Milano,Cameroon,0-1,World Cup,national_team_world_cup_finals,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,0,32,appearance
maradona,Diego Maradona,75,13-6-90,1990-06-13,Napoli,Soviet Union,2-0,World Cup,national_team_world_cup_finals,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,0,32,appearance
maradona,Diego Maradona,76,18-6-90,1990-06-18,Napoli,Romania,1-1,World Cup,national_team_world_cup_finals,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,0,32,appearance
maradona,Diego Maradona,77,23-6-90,1990-06-23,Torino,Brazil,1-0,World Cup,national_team_world_cup_finals,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,0,32,appearance
maradona,Diego Maradona,78,30-6-90,1990-06-30,Firenze,Yugoslavia,0-0 (3),World Cup,national_team_world_cup_finals,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,0,32,appearance
maradona,Diego Maradona,79,3-7-90,1990-07-03,Napoli,Italy,1-1 (4),World Cup,national_team_world_cup_finals,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,0,32,appearance
maradona,Diego Maradona,80,8-7-90,1990-07-08,Roma,West Germany,0-1,World Cup,national_team_world_cup_finals,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,0,32,appearance
maradona,Diego Maradona,81,18-2-93,1993-02-18,Buenos Aires,Brazil,1-1,A.F.A. 100th Anniversary,national_team_friendlies,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,0,32,appearance
maradona,Diego Maradona,82,24-2-93,1993-02-24,Mar del Plata,Denmark,1-1 (5),Artemio Franchi Cup,national_team_intercontinental_championship_finals,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,0,32,appearance
maradona,Diego Maradona,83,31-10-93,1993-10-31,Sydney,Australia,1-1,World Cup Qualifier,national_team_world_cup_qualification,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,0,32,appearance
maradona,Diego Maradona,84,17-11-93,1993-11-17,Buenos Aires,Australia,1-0,World Cup Qualifier,national_team_world_cup_qualification,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,0,32,appearance
maradona,Diego Maradona,85,20-4-94,1994-04-20,Salta,Morocco,3-1,Friendly,national_team_friendlies,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,1,33,appearance
maradona,Diego Maradona,86,18-5-94,1994-05-18,Santiago,Chile,3-3,Friendly,national_team_friendlies,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,0,33,appearance
maradona,Diego Maradona,87,25-5-94,1994-05-25,Guayaquil,Ecuador,0-1,Friendly,national_team_friendlies,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,0,33,appearance
maradona,Diego Maradona,88,31-5-94,1994-05-31,Tel-Aviv,Israel,3-0,Friendly,national_team_friendlies,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,0,33,appearance
maradona,Diego Maradona,89,4-6-94,1994-06-04,Zagreb,Croatia,0-0,Friendly,national_team_friendlies,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,0,33,appearance
maradona,Diego Maradona,90,21-6-94,1994-06-21,Boston,Greece,4-0,World Cup,national_team_world_cup_finals,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,1,34,appearance
maradona,Diego Maradona,91,25-6-94,1994-06-25,Boston,Nigeria,2-1,World Cup,national_team_world_cup_finals,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,0,34,appearance
